Q3	Q4a	Q4b	Q4c	Q4d	Q4e	Q5a	Q5b	Q5c	Q6	Q7a	Q7b	Q7c	Q7d	Q7e	Q7f	Q7g	Q7h	Q7i	Q7j	Q7k	Q7l	Q8a	Q8b	Q8c	Q10	Q15	Q15b	Q16	Q1	CODERESP
9	9	9	9	9	98	10	10	10	9	9	9	9	10	8	8	9	8	8	6	9	8	8	7	7	9	7	7	7	3	341
8	7	8	9	8	98	7	8	8	9	8	6	7	6	8	7	8	8	8	7	8	6	7	7	7	9	8	8	8	3	363
8	10	9	9	7	8	10	10	10	9	10	9	9	10	10	8	9	8	9	8	10	9	8	8	9	9	10	9	8	3	429
9	9	9	8	8	8	10	10	10	8	8	8	8	7	7	8	8	7	9	9	9	8	7	7	8	9	9	9	8	3	272
8	8	8	7	6	98	8	8	8	10	8	8	7	7	4	6	7	8	7	7	8	6	6	6	8	7	10	10	7	3	273
8	8	8	7	7	98	7	9	9	8	8	8	7	7	8	8	8	7	8	7	8	7	9	9	9	8	8	8	8	3	18
8	8	7	8	7	7	10	10	10	8	9	10	10	98	9	9	8	9	8	9	9	8	7	7	7	10	9	10	8	3	71
8	8	8	6	7	98	9	10	10	8	9	98	98	98	8	6	9	98	8	8	7	7	8	8	8	8	8	6	8	3	155
8	10	98	9	8	5	10	10	10	8	8	10	8	8	6	7	7	9	9	7	9	8	7	7	8	5	7	8	8	3	400
8	8	8	9	7	5	8	10	10	8	9	7	7	7	7	8	9	9	9	7	10	7	7	6	7	7	8	8	8	3	361
7	7	7	8	7	8	8	8	8	9	8	9	8	7	9	8	8	8	8	7	8	7	7	7	7	5	7	6	8	3	279
8	8	8	8	7	98	10	10	10	8	9	9	9	8	8	9	9	98	8	8	8	6	7	98	8	8	8	8	8	3	230
8	8	8	8	8	6	9	9	9	8	8	8	7	7	8	8	8	8	8	8	8	7	7	7	7	8	8	8	8	3	5
8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	3	201
7	7	98	7	8	98	8	7	7	8	7	98	7	7	7	7	7	98	6	6	7	98	8	7	98	6	8	9	8	3	202
8	10	8	7	8	98	9	10	10	8	8	10	8	8	8	6	8	8	10	7	10	7	5	7	8	8	10	10	7	3	160
9	9	8	9	8	98	8	8	8	5	7	7	8	5	7	9	9	8	8	7	9	7	5	5	5	10	9	9	8	3	249
9	8	98	8	8	98	10	10	10	5	8	8	98	7	7	8	8	8	8	98	8	98	7	7	7	8	8	8	8	3	205
7	8	8	8	7	8	7	8	9	7	8	8	7	7	7	6	8	8	7	7	8	6	7	7	7	7	8	8	8	3	103
8	10	5	8	7	7	8	8	8	7	8	5	7	7	7	6	5	98	8	8	7	7	7	7	98	7	7	7	7	3	3
7	8	8	8	5	5	10	10	10	8	10	8	8	98	98	8	8	7	10	7	8	98	7	7	98	6	7	7	7	3	444
7	8	98	8	7	98	7	8	8	8	8	8	8	8	8	8	8	8	8	7	8	7	98	98	7	8	7	7	7	3	148
8	10	10	8	5	5	10	10	10	8	9	8	8	8	9	5	8	98	10	5	10	6	5	5	6	8	8	8	6	3	342
8	7	7	7	5	4	9	8	6	7	7	6	5	6	5	5	5	7	6	5	7	4	5	3	5	6	6	6	6	3	430
8	8	8	9	8	98	9	9	9	6	5	5	5	5	7	7	7	7	9	9	9	7	8	7	7	7	8	8	7	3	224
8	8	7	9	8	98	9	9	9	5	8	9	9	9	9	9	9	9	8	8	9	9	8	8	8	9	8	8	8	3	389
7	7	6	7	6	6	7	7	7	7	7	7	7	7	7	6	7	7	7	7	8	7	6	6	5	7	7	7	7	3	244
8	9	8	7	6	8	9	9	8	6	8	7	8	7	7	6	8	9	8	6	9	8	7	7	7	8	8	8	7	3	294
7	7	8	7	6	6	8	8	8	7	7	8	7	7	6	8	8	7	9	7	8	7	8	8	8	8	8	8	7	3	194
6	8	8	8	5	6	9	9	10	7	7	8	6	5	7	7	7	9	8	8	9	8	6	7	5	10	9	7	7	3	82
8	8	8	8	7	98	7	8	8	5	8	7	7	98	8	8	8	98	9	9	8	6	8	7	7	5	98	8	7	3	108
7	7	7	5	5	2	9	10	10	7	7	7	7	7	5	3	4	8	6	5	7	7	2	2	3	5	8	7	6	3	65
5	5	5	6	5	98	7	8	8	7	7	5	5	6	6	6	7	7	6	6	7	5	5	5	5	5	5	7	7	3	66
6	6	7	6	5	98	9	8	8	6	7	7	7	6	5	5	4	8	7	7	8	7	5	6	7	5	6	6	5	3	443
7	7	5	5	5	98	5	7	7	5	7	5	5	98	6	5	7	98	7	5	5	7	8	8	7	5	98	5	5	3	57
5	6	5	4	5	2	10	10	10	4	4	5	5	3	5	4	4	6	10	3	5	5	4	4	7	5	5	5	5	3	161
6	7	98	6	4	98	10	10	10	7	8	7	7	98	8	8	9	98	8	7	9	4	7	6	98	5	6	5	6	3	288
7	8	7	6	7	98	7	7	8	7	7	98	7	8	9	8	6	7	7	6	8	6	9	8	8	6	5	5	6	3	265
7	8	7	8	6	6	8	8	7	7	8	7	6	5	5	6	7	7	8	7	7	6	5	5	5	5	6	3	6	3	144
6	5	7	7	5	5	8	8	8	6	10	8	7	98	10	8	8	98	6	8	10	8	10	10	8	4	98	5	6	3	99
7	7	6	6	5	5	7	7	5	5	7	6	6	7	5	7	8	7	7	7	8	5	5	4	5	5	7	5	6	3	357
7	8	6	6	6	1	10	10	10	7	6	8	98	6	8	8	7	7	9	8	9	6	5	5	98	3	5	5	7	3	86
8	8	98	8	6	98	3	5	5	8	7	98	7	8	9	7	8	98	7	8	9	5	7	7	98	5	8	5	7	3	206
5	5	5	6	4	98	8	8	9	6	8	98	98	6	7	4	98	8	9	4	8	5	4	4	98	5	5	5	5	3	370
5	4	7	7	98	2	8	8	8	5	6	8	98	4	2	6	7	98	8	7	5	3	4	4	4	1	5	5	3	3	362
8	10	98	8	7	98	10	8	10	5	8	8	8	7	9	7	10	10	10	7	9	8	7	7	98	8	7	5	7	3	344
10	10	9	10	8	7	10	10	10	10	9	9	10	10	10	9	10	9	10	8	10	8	8	8	8	10	10	10	10	3	397
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	3	60
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	98	10	10	10	10	3	203
9	10	10	10	8	98	10	10	10	10	10	10	10	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	3	30
9	10	7	10	8	98	10	10	10	10	9	98	9	98	8	10	9	10	10	8	10	7	10	7	98	9	9	10	9	3	173
10	10	9	9	8	7	9	8	8	9	9	8	8	8	9	10	9	8	9	9	10	9	7	7	8	10	9	9	9	3	15
9	9	7	10	8	7	9	9	8	10	9	9	9	9	9	8	10	8	9	8	10	8	8	9	9	10	10	10	9	3	308
9	9	9	9	9	9	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	3	448
10	10	8	9	9	9	9	10	10	9	10	10	10	10	9	9	10	10	10	10	10	10	9	9	8	10	10	10	9	3	56
9	9	9	9	9	9	10	10	10	10	9	10	9	10	9	8	8	5	10	9	9	9	8	8	8	9	9	9	8	3	447
9	9	7	9	9	8	10	10	9	9	9	9	9	9	9	8	8	9	9	9	10	8	8	7	9	10	9	9	9	3	85
9	9	8	9	8	98	9	9	9	9	8	8	8	8	9	8	9	98	9	8	9	98	8	8	8	10	10	10	9	3	132
9	10	10	9	98	98	10	10	10	9	9	10	10	98	8	9	9	9	9	9	10	8	7	9	10	10	9	9	9	3	24
9	10	8	9	8	7	9	9	8	9	8	7	8	8	7	9	9	8	8	7	9	8	7	8	98	8	8	8	9	3	113
9	10	8	8	7	98	9	9	9	9	8	7	8	98	8	8	9	8	7	7	8	7	8	7	8	8	8	8	8	3	174
9	10	9	10	98	98	10	10	10	9	10	9	10	9	9	9	10	98	9	8	10	98	8	8	8	9	9	9	8	3	185
9	8	8	10	6	6	7	10	10	9	8	8	9	8	9	9	9	8	9	9	9	6	98	98	98	5	9	10	8	3	91
9	10	7	10	98	98	8	9	9	9	10	98	8	10	10	10	10	8	8	8	10	7	8	7	7	8	8	8	8	3	343
9	10	8	9	8	7	9	9	9	9	9	8	9	9	9	9	9	98	10	9	10	8	7	7	9	9	10	10	8	3	339
9	10	8	8	98	98	10	10	10	9	8	8	8	8	9	7	7	8	8	8	10	98	5	6	98	10	8	10	8	3	229
8	8	8	8	8	5	9	8	8	9	8	8	8	8	7	7	9	10	6	6	10	8	7	7	8	10	9	9	8	3	120
9	7	7	8	6	5	8	8	8	8	7	6	8	7	8	7	8	8	6	8	8	7	5	5	5	10	8	9	8	3	61
9	7	9	9	9	9	10	10	10	8	10	8	8	8	10	10	10	9	8	10	10	6	10	9	98	9	9	9	8	3	215
9	10	9	9	7	98	10	10	10	8	8	8	8	7	8	8	8	8	7	7	9	5	9	9	98	10	10	10	8	3	27
8	8	8	9	8	9	10	10	10	9	9	7	8	9	9	9	8	9	10	8	10	8	7	7	8	10	8	8	8	3	416
10	10	3	10	10	98	5	5	5	8	8	98	8	8	8	8	8	8	8	5	5	6	4	4	5	6	10	8	7	3	197
9	9	9	9	9	98	10	10	10	9	9	9	9	10	8	8	9	8	8	6	9	8	8	7	7	9	7	7	7	3	341
8	7	8	9	8	98	7	8	8	9	8	6	7	6	8	7	8	8	8	7	8	6	7	7	7	9	8	8	8	3	363
8	10	9	9	7	8	10	10	10	9	10	9	9	10	10	8	9	8	9	8	10	9	8	8	9	9	10	9	8	3	429
9	9	9	8	8	8	10	10	10	8	8	8	8	7	7	8	8	7	9	9	9	8	7	7	8	9	9	9	8	3	272
8	8	8	7	6	98	8	8	8	10	8	8	7	7	4	6	7	8	7	7	8	6	6	6	8	7	10	10	7	3	273
8	8	8	7	7	98	7	9	9	8	8	8	7	7	8	8	8	7	8	7	8	7	9	9	9	8	8	8	8	3	18
8	8	7	8	7	7	10	10	10	8	9	10	10	98	9	9	8	9	8	9	9	8	7	7	7	10	9	10	8	3	71
8	8	8	6	7	98	9	10	10	8	9	98	98	98	8	6	9	98	8	8	7	7	8	8	8	8	8	6	8	3	155
8	10	98	9	8	5	10	10	10	8	8	10	8	8	6	7	7	9	9	7	9	8	7	7	8	5	7	8	8	3	400
8	8	8	9	7	5	8	10	10	8	9	7	7	7	7	8	9	9	9	7	10	7	7	6	7	7	8	8	8	3	361
7	7	7	8	7	8	8	8	8	9	8	9	8	7	9	8	8	8	8	7	8	7	7	7	7	5	7	6	8	3	279
8	8	8	8	7	98	10	10	10	8	9	9	9	8	8	9	9	98	8	8	8	6	7	98	8	8	8	8	8	3	230
8	8	8	8	8	6	9	9	9	8	8	8	7	7	8	8	8	8	8	8	8	7	7	7	7	8	8	8	8	3	5
8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	3	201
7	7	98	7	8	98	8	7	7	8	7	98	7	7	7	7	7	98	6	6	7	98	8	7	98	6	8	9	8	3	202
8	10	8	7	8	98	9	10	10	8	8	10	8	8	8	6	8	8	10	7	10	7	5	7	8	8	10	10	7	3	160
9	9	8	9	8	98	8	8	8	5	7	7	8	5	7	9	9	8	8	7	9	7	5	5	5	10	9	9	8	3	249
9	8	98	8	8	98	10	10	10	5	8	8	98	7	7	8	8	8	8	98	8	98	7	7	7	8	8	8	8	3	205
7	8	8	8	7	8	7	8	9	7	8	8	7	7	7	6	8	8	7	7	8	6	7	7	7	7	8	8	8	3	103
8	10	5	8	7	7	8	8	8	7	8	5	7	7	7	6	5	98	8	8	7	7	7	7	98	7	7	7	7	3	3
7	8	8	8	5	5	10	10	10	8	10	8	8	98	98	8	8	7	10	7	8	98	7	7	98	6	7	7	7	3	444
7	8	98	8	7	98	7	8	8	8	8	8	8	8	8	8	8	8	8	7	8	7	98	98	7	8	7	7	7	3	148
8	10	10	8	5	5	10	10	10	8	9	8	8	8	9	5	8	98	10	5	10	6	5	5	6	8	8	8	6	3	342
8	7	7	7	5	4	9	8	6	7	7	6	5	6	5	5	5	7	6	5	7	4	5	3	5	6	6	6	6	3	430
8	8	8	9	8	98	9	9	9	6	5	5	5	5	7	7	7	7	9	9	9	7	8	7	7	7	8	8	7	3	224
8	8	7	9	8	98	9	9	9	5	8	9	9	9	9	9	9	9	8	8	9	9	8	8	8	9	8	8	8	3	389
7	7	6	7	6	6	7	7	7	7	7	7	7	7	7	6	7	7	7	7	8	7	6	6	5	7	7	7	7	3	244
8	9	8	7	6	8	9	9	8	6	8	7	8	7	7	6	8	9	8	6	9	8	7	7	7	8	8	8	7	3	294
7	7	8	7	6	6	8	8	8	7	7	8	7	7	6	8	8	7	9	7	8	7	8	8	8	8	8	8	7	3	194
6	8	8	8	5	6	9	9	10	7	7	8	6	5	7	7	7	9	8	8	9	8	6	7	5	10	9	7	7	3	82
8	8	8	8	7	98	7	8	8	5	8	7	7	98	8	8	8	98	9	9	8	6	8	7	7	5	98	8	7	3	108
7	7	7	5	5	2	9	10	10	7	7	7	7	7	5	3	4	8	6	5	7	7	2	2	3	5	8	7	6	3	65
5	5	5	6	5	98	7	8	8	7	7	5	5	6	6	6	7	7	6	6	7	5	5	5	5	5	5	7	7	3	66
6	6	7	6	5	98	9	8	8	6	7	7	7	6	5	5	4	8	7	7	8	7	5	6	7	5	6	6	5	3	443
7	7	5	5	5	98	5	7	7	5	7	5	5	98	6	5	7	98	7	5	5	7	8	8	7	5	98	5	5	3	57
5	6	5	4	5	2	10	10	10	4	4	5	5	3	5	4	4	6	10	3	5	5	4	4	7	5	5	5	5	3	161
5	6	6	6	6	98	9	9	9	5	5	7	7	5	6	7	5	7	9	3	7	4	3	3	5	5	6	5	6	4	221
6	5	6	7	2	98	7	7	7	4	8	8	4	98	5	5	8	8	6	4	5	3	4	4	5	3	5	4	5	4	122
6	5	6	7	4	98	8	8	8	4	4	7	5	4	4	3	4	5	8	6	7	3	5	5	4	8	4	4	4	4	433
8	8	5	7	5	98	10	10	10	8	8	5	7	7	9	9	9	9	10	8	10	8	5	8	6	10	10	5	8	4	248
8	8	7	8	7	98	8	8	8	8	8	98	7	98	7	8	7	6	8	6	8	5	8	8	98	9	8	5	7	4	269
7	5	5	5	5	98	5	10	10	5	5	8	5	5	5	5	7	10	5	3	5	3	3	3	5	5	4	5	5	4	245
1	1	2	3	5	98	6	2	6	3	3	3	2	5	1	3	5	7	6	5	2	98	1	4	2	1	2	1	2	4	141
10	10	10	10	8	98	10	10	10	10	10	10	10	10	10	10	10	98	8	10	10	98	98	98	98	10	10	10	10	4	322
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	4	284
10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	242
10	10	10	10	10	10	8	10	10	8	10	10	10	10	10	8	10	10	10	10	10	8	8	8	10	10	10	10	10	4	223
10	10	9	9	10	10	10	10	10	8	10	10	9	9	9	10	10	10	9	8	10	9	9	9	9	10	10	10	10	4	119
9	10	10	10	8	7	10	10	10	9	10	9	10	98	9	10	10	10	10	10	10	9	8	8	8	10	10	10	9	4	193
9	9	98	9	9	98	9	9	9	9	9	9	9	9	9	98	9	98	10	7	10	9	8	8	98	8	9	9	8	4	304
8	7	7	7	98	98	10	10	10	10	10	10	9	8	9	10	9	10	9	8	10	8	5	5	7	8	8	8	8	4	327
8	8	98	10	8	98	10	8	8	10	8	8	10	8	7	8	10	10	8	7	10	7	7	7	8	8	9	10	8	4	330
8	10	10	10	8	98	10	10	10	8	8	8	8	8	9	9	9	8	8	10	10	8	7	8	8	10	9	10	10	4	121
9	9	10	10	10	10	10	10	10	9	9	98	9	10	8	9	10	9	9	10	10	10	9	9	9	10	10	10	8	4	378
8	8	8	9	5	5	8	10	10	8	8	8	7	6	8	9	9	8	9	6	9	6	7	7	8	9	8	9	9	4	236
9	10	5	8	5	5	5	5	5	7	10	5	8	5	10	8	10	98	8	7	10	98	7	7	5	8	10	10	9	4	14
8	10	8	8	98	98	9	10	10	8	9	8	9	10	7	9	9	10	10	10	10	98	9	8	8	8	9	10	9	4	47
8	10	7	8	8	8	10	10	10	9	9	9	8	8	8	8	8	9	9	9	9	8	5	6	7	7	8	8	8	4	228
8	9	6	9	9	5	9	9	9	9	8	5	8	7	7	9	7	10	8	8	8	6	7	8	6	7	8	8	7	4	105
8	8	8	8	8	8	9	9	9	8	8	8	8	98	8	8	9	9	9	9	10	10	8	8	5	5	5	8	8	4	198
8	10	8	9	8	98	8	8	8	8	8	8	9	98	10	10	9	9	10	9	9	8	8	8	8	8	8	8	8	4	271
8	8	7	7	7	98	8	10	8	8	8	8	8	8	8	8	8	98	8	6	7	5	8	8	7	6	8	7	8	4	226
10	10	8	8	5	98	10	10	10	5	9	9	9	98	98	9	9	98	8	8	10	8	7	7	98	5	8	8	9	4	16
8	8	5	8	7	5	9	9	8	9	10	8	8	5	7	9	9	98	8	7	9	9	8	8	7	9	7	8	7	4	211
8	8	8	9	7	98	9	9	10	9	8	8	8	98	8	9	9	8	9	8	9	8	7	8	7	9	9	8	7	4	336
8	10	8	8	8	98	8	10	10	8	9	9	8	8	9	9	9	9	10	8	10	8	7	7	7	7	9	9	8	4	133
8	8	8	6	6	8	8	8	8	8	8	7	7	6	7	98	7	9	6	7	7	6	8	7	9	9	10	8	7	4	214
7	8	98	7	8	8	7	8	8	8	8	8	8	8	7	8	9	9	7	8	9	8	7	7	98	9	8	8	8	4	220
9	9	9	10	9	98	9	10	10	6	9	9	8	9	9	8	10	8	9	9	10	9	8	8	8	9	9	9	8	4	40
10	10	8	10	98	98	8	10	10	5	8	9	9	98	9	10	9	8	10	8	10	8	7	9	8	8	9	10	8	4	208
8	8	8	7	8	7	9	9	9	7	8	8	8	7	7	7	8	7	8	7	7	7	6	6	7	10	8	10	8	4	422
9	10	98	10	9	9	9	9	9	9	9	9	9	9	10	10	9	10	9	9	10	9	8	9	98	10	10	10	5	4	138
9	9	5	7	8	98	9	9	9	7	8	5	5	8	8	7	8	9	9	7	8	8	7	7	98	8	8	8	7	4	34
8	8	6	7	8	98	10	10	10	7	7	8	8	8	7	8	8	7	8	8	8	8	7	7	7	7	8	7	7	4	51
8	8	9	8	7	7	9	9	8	7	8	8	9	7	8	7	9	8	9	6	9	6	8	8	9	8	8	9	7	4	240
8	10	8	8	8	98	10	10	10	5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	10	8	8	8	4	349
7	7	8	7	6	98	9	9	10	7	8	8	8	6	5	7	6	8	7	6	8	5	6	7	8	8	7	7	7	4	313
7	8	7	8	7	8	7	8	8	7	8	8	7	7	8	7	7	7	8	6	8	7	9	7	8	8	8	8	7	4	331
7	10	7	7	7	98	8	8	8	7	8	7	7	8	7	7	8	8	8	6	8	6	5	5	7	7	7	7	7	4	231
8	8	8	9	8	98	10	10	10	5	8	8	8	8	8	9	8	9	10	9	10	8	8	8	8	8	98	5	8	4	28
7	8	5	7	8	5	8	8	8	7	7	9	8	7	6	7	7	9	9	7	9	8	7	7	7	8	8	8	7	4	200
8	8	8	8	5	98	8	8	8	5	8	98	8	7	8	8	8	98	8	7	8	6	5	5	8	1	8	8	8	4	106
8	8	8	8	7	7	8	8	7	5	8	8	8	9	8	8	9	6	7	7	8	8	7	7	6	7	8	8	7	4	177
8	8	8	9	7	8	10	10	10	5	8	8	9	8	7	9	8	8	6	7	9	6	5	5	7	10	8	8	7	4	250
7	8	7	7	6	5	9	10	10	7	7	5	6	8	8	9	9	7	9	9	9	8	6	6	7	7	8	7	6	4	293
8	10	98	8	7	9	9	10	10	5	8	7	7	8	8	10	8	8	7	7	9	8	5	5	7	8	8	8	6	4	164
6	9	98	6	6	6	5	8	8	5	8	6	6	8	6	4	8	8	6	4	6	98	4	98	98	1	6	8	6	4	328
8	7	98	10	98	98	8	8	8	5	6	98	5	5	5	7	7	5	7	5	5	5	1	1	1	4	3	3	3	4	225
5	6	6	6	6	98	9	9	9	5	5	7	7	5	6	7	5	7	9	3	7	4	3	3	5	5	6	5	6	4	221
6	5	6	7	2	98	7	7	7	4	8	8	4	98	5	5	8	8	6	4	5	3	4	4	5	3	5	4	5	4	122
6	5	6	7	4	98	8	8	8	4	4	7	5	4	4	3	4	5	8	6	7	3	5	5	4	8	4	4	4	4	433
8	8	5	7	5	98	10	10	10	8	8	5	7	7	9	9	9	9	10	8	10	8	5	8	6	10	10	5	8	4	248
8	8	7	8	7	98	8	8	8	8	8	98	7	98	7	8	7	6	8	6	8	5	8	8	98	9	8	5	7	4	269
7	5	5	5	5	98	5	10	10	5	5	8	5	5	5	5	7	10	5	3	5	3	3	3	5	5	4	5	5	4	245
1	1	2	3	5	98	6	2	6	3	3	3	2	5	1	3	5	7	6	5	2	98	1	4	2	1	2	1	2	4	141
10	10	10	10	8	98	10	10	10	10	10	10	10	10	10	10	10	98	8	10	10	98	98	98	98	10	10	10	10	4	322
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	4	284
10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	242
10	10	10	10	10	10	8	10	10	8	10	10	10	10	10	8	10	10	10	10	10	8	8	8	10	10	10	10	10	4	223
10	10	9	9	10	10	10	10	10	8	10	10	9	9	9	10	10	10	9	8	10	9	9	9	9	10	10	10	10	4	119
9	10	10	10	8	7	10	10	10	9	10	9	10	98	9	10	10	10	10	10	10	9	8	8	8	10	10	10	9	4	193
9	9	98	9	9	98	9	9	9	9	9	9	9	9	9	98	9	98	10	7	10	9	8	8	98	8	9	9	8	4	304
8	7	7	7	98	98	10	10	10	10	10	10	9	8	9	10	9	10	9	8	10	8	5	5	7	8	8	8	8	4	327
8	8	98	10	8	98	10	8	8	10	8	8	10	8	7	8	10	10	8	7	10	7	7	7	8	8	9	10	8	4	330
8	10	10	10	8	98	10	10	10	8	8	8	8	8	9	9	9	8	8	10	10	8	7	8	8	10	9	10	10	4	121
9	9	10	10	10	10	10	10	10	9	9	98	9	10	8	9	10	9	9	10	10	10	9	9	9	10	10	10	8	4	378
8	8	8	9	5	5	8	10	10	8	8	8	7	6	8	9	9	8	9	6	9	6	7	7	8	9	8	9	9	4	236
9	10	5	8	5	5	5	5	5	7	10	5	8	5	10	8	10	98	8	7	10	98	7	7	5	8	10	10	9	4	14
8	10	8	8	98	98	9	10	10	8	9	8	9	10	7	9	9	10	10	10	10	98	9	8	8	8	9	10	9	4	47
8	10	7	8	8	8	10	10	10	9	9	9	8	8	8	8	8	9	9	9	9	8	5	6	7	7	8	8	8	4	228
8	9	6	9	9	5	9	9	9	9	8	5	8	7	7	9	7	10	8	8	8	6	7	8	6	7	8	8	7	4	105
8	8	8	8	8	8	9	9	9	8	8	8	8	98	8	8	9	9	9	9	10	10	8	8	5	5	5	8	8	4	198
8	10	8	9	8	98	8	8	8	8	8	8	9	98	10	10	9	9	10	9	9	8	8	8	8	8	8	8	8	4	271
8	8	7	7	7	98	8	10	8	8	8	8	8	8	8	8	8	98	8	6	7	5	8	8	7	6	8	7	8	4	226
10	10	8	8	5	98	10	10	10	5	9	9	9	98	98	9	9	98	8	8	10	8	7	7	98	5	8	8	9	4	16
8	8	5	8	7	5	9	9	8	9	10	8	8	5	7	9	9	98	8	7	9	9	8	8	7	9	7	8	7	4	211
8	8	8	9	7	98	9	9	10	9	8	8	8	98	8	9	9	8	9	8	9	8	7	8	7	9	9	8	7	4	336
8	10	8	8	8	98	8	10	10	8	9	9	8	8	9	9	9	9	10	8	10	8	7	7	7	7	9	9	8	4	133
8	8	8	6	6	8	8	8	8	8	8	7	7	6	7	98	7	9	6	7	7	6	8	7	9	9	10	8	7	4	214
7	8	98	7	8	8	7	8	8	8	8	8	8	8	7	8	9	9	7	8	9	8	7	7	98	9	8	8	8	4	220
9	9	9	10	9	98	9	10	10	6	9	9	8	9	9	8	10	8	9	9	10	9	8	8	8	9	9	9	8	4	40
10	10	8	10	98	98	8	10	10	5	8	9	9	98	9	10	9	8	10	8	10	8	7	9	8	8	9	10	8	4	208
8	8	8	7	8	7	9	9	9	7	8	8	8	7	7	7	8	7	8	7	7	7	6	6	7	10	8	10	8	4	422
9	10	98	10	9	9	9	9	9	9	9	9	9	9	10	10	9	10	9	9	10	9	8	9	98	10	10	10	5	4	138
9	9	5	7	8	98	9	9	9	7	8	5	5	8	8	7	8	9	9	7	8	8	7	7	98	8	8	8	7	4	34
8	8	6	7	8	98	10	10	10	7	7	8	8	8	7	8	8	7	8	8	8	8	7	7	7	7	8	7	7	4	51
8	8	9	8	7	7	9	9	8	7	8	8	9	7	8	7	9	8	9	6	9	6	8	8	9	8	8	9	7	4	240
8	10	8	8	8	98	10	10	10	5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	10	8	8	8	4	349
7	7	8	7	6	98	9	9	10	7	8	8	8	6	5	7	6	8	7	6	8	5	6	7	8	8	7	7	7	4	313
7	8	7	8	7	8	7	8	8	7	8	8	7	7	8	7	7	7	8	6	8	7	9	7	8	8	8	8	7	4	331
7	10	7	7	7	98	8	8	8	7	8	7	7	8	7	7	8	8	8	6	8	6	5	5	7	7	7	7	7	4	231
8	8	8	9	8	98	10	10	10	5	8	8	8	8	8	9	8	9	10	9	10	8	8	8	8	8	98	5	8	4	28
7	8	5	7	8	5	8	8	8	7	7	9	8	7	6	7	7	9	9	7	9	8	7	7	7	8	8	8	7	4	200
8	8	8	8	5	98	8	8	8	5	8	98	8	7	8	8	8	98	8	7	8	6	5	5	8	1	8	8	8	4	106
8	8	8	8	7	7	8	8	7	5	8	8	8	9	8	8	9	6	7	7	8	8	7	7	6	7	8	8	7	4	177
8	8	8	9	7	8	10	10	10	5	8	8	9	8	7	9	8	8	6	7	9	6	5	5	7	10	8	8	7	4	250
7	8	7	7	6	5	9	10	10	7	7	5	6	8	8	9	9	7	9	9	9	8	6	6	7	7	8	7	6	4	293
8	10	98	8	7	9	9	10	10	5	8	7	7	8	8	10	8	8	7	7	9	8	5	5	7	8	8	8	6	4	164
6	9	98	6	6	6	5	8	8	5	8	6	6	8	6	4	8	8	6	4	6	98	4	98	98	1	6	8	6	4	328
8	7	98	10	98	98	8	8	8	5	6	98	5	5	5	7	7	5	7	5	5	5	1	1	1	4	3	3	3	4	225
5	6	5	6	4	98	9	8	9	4	7	8	5	7	4	5	6	7	8	4	6	4	3	6	5	4	5	5	5	5	319
2	6	6	2	2	6	10	10	10	2	5	6	2	2	2	6	2	98	5	2	8	2	2	2	4	2	2	2	5	5	280
6	5	6	5	4	98	9	8	8	5	6	5	4	5	6	7	7	6	7	5	7	4	5	6	5	4	6	5	5	5	451
9	10	10	10	8	98	8	10	10	8	10	10	9	10	10	7	10	10	9	9	10	7	10	10	10	6	5	4	8	5	295
10	10	6	9	7	5	10	10	10	10	10	10	10	10	10	10	10	10	8	10	10	8	6	6	7	10	10	10	9	5	152
10	10	8	10	8	98	8	10	9	10	8	8	9	10	10	10	10	9	8	8	10	7	9	10	8	8	10	10	8	5	262
10	10	10	10	8	8	9	10	10	9	9	9	8	9	8	10	10	9	10	8	10	8	8	8	9	9	9	9	9	5	423
10	10	98	10	8	98	9	9	9	9	9	9	9	98	10	9	9	98	10	9	10	7	8	8	10	10	10	8	9	5	22
10	10	98	10	98	98	10	10	10	10	10	10	10	10	10	10	10	10	10	7	10	10	98	98	98	10	10	10	8	5	136
10	9	9	10	8	8	10	9	9	9	9	10	9	8	8	10	10	10	10	10	9	9	8	8	9	9	10	9	9	5	371
9	10	8	9	7	98	9	9	9	9	9	8	9	9	8	9	10	98	8	8	10	7	8	8	9	9	9	10	8	5	252
